Value,dx Normalized Frequency,dy Normalized Frequency
1,0.019761302,0
2,0.027639055,0.976060054
3,0.019702502,0
4,0.022472033,0.02259037
5,0.019197745,0
6,0.026469831,0.001152489
7,0.021712138,0
8,0.019472505,0.000139566
9,0.014451644,0
10,0.015960224,3.09E-05
11,0.0112364,0
12,0.014161206,1.26E-05
13,0.010981787,0
14,0.013226483,6.73E-06
15,0.013785117,0
16,0.010010087,4.08E-06
17,0.008687684,0
18,0.012046365,1.71E-06
19,0.00922638,0
20,0.01168564,7.33E-07
21,0.010469802,0
22,0.01289411,4.53E-07
23,0.008699939,0
24,0.007324217,2.79E-07
25,0.00854222,0
26,0.011397786,6.98E-08
27,0.008227829,0
28,0.009808827,0
29,0.009581484,0
30,0.011098723,0
31,0.008723124,0
32,0.007483892,0
33,0.006904203,0
34,0.006455348,0
35,0.006701057,0
36,0.007901497,0
37,0.00690148,0
38,0.007577783,0
39,0.005684594,0
40,0.006573227,0
41,0.00580415,0
42,0.006958778,0
43,0.006096648,0
44,0.005787704,0
45,0.005397264,0
46,0.004885209,0
47,0.00493116,0
48,0.005122504,0
49,0.004387296,0
50,0.004860942,0
51,0.004110929,0
52,0.005240139,0
53,0.004300877,0
54,0.005286508,0
55,0.003780372,0
56,0.004445153,0
57,0.004447562,0
58,0.004627488,0
59,0.003768605,0
60,0.004075384,0
61,0.004524903,0
62,0.004415229,0
63,0.004080028,0
64,0.0032547,0
65,0.003355155,0
66,0.003354492,0
67,0.003081966,0
68,0.003495486,0
69,0.003725867,0
70,0.003472231,0
71,0.003210635,0
72,0.002978508,0
73,0.003291362,0
74,0.003252744,0
75,0.002868136,0
76,0.00295239,0
77,0.002838072,0
78,0.002898653,0
79,0.003338674,0
80,0.002932662,0
81,0.002747917,0
82,0.002749139,0
83,0.00278657,0
84,0.003065136,0
85,0.002679166,0
86,0.002766633,0
87,0.00278032,0
88,0.002636602,0
89,0.002600114,0
90,0.002505455,0
91,0.002484435,0
92,0.002525253,0
93,0.002542851,0
94,0.002471725,0
95,0.002260793,0
96,0.00244662,0
97,0.00230835,0
98,0.002781402,0
99,0.002257127,0
100,0.002349028,0
101,0.002261177,0
102,0.002082822,0
103,0.002101014,0
104,0.002140714,0
105,0.002065992,0
106,0.002270954,0
107,0.002061627,0
108,0.002046474,0
109,0.002175421,0
110,0.001881422,0
111,0.001841302,0
112,0.001994517,0
113,0.002045775,0
114,0.001912463,0
115,0.001918538,0
116,0.00189689,0
117,0.001825974,0
118,0.001873286,0
119,0.001884774,0
120,0.001752614,0
121,0.001758864,0
122,0.001846261,0
123,0.001838509,0
124,0.001877372,0
125,0.001903175,0
126,0.001747446,0
127,0.001683653,0
128,0.001634071,0
129,0.001728521,0
130,0.001621641,0
131,0.001655929,0
132,0.001715742,0
133,0.001903035,0
134,0.00156333,0
135,0.001505054,0
136,0.001597339,0
137,0.001535466,0
138,0.001675029,0
139,0.001510152,0
140,0.001452225,0
141,0.001465668,0
142,0.001660224,0
143,0.001603694,0
144,0.001809912,0
145,0.001476596,0
146,0.001873426,0
147,0.001393983,0
148,0.001550376,0
149,0.001421393,0
150,0.001369821,0
151,0.00135135,0
152,0.001380331,0
153,0.001365491,0
154,0.001309101,0
155,0.001285218,0
156,0.001305399,0
157,0.001290665,0
158,0.001288779,0
159,0.001325477,0
160,0.001412035,0
161,0.001254142,0
162,0.001184797,0
163,0.001192234,0
164,0.001218282,0
165,0.001172995,0
166,0.00113518,0
167,0.001132457,0
